Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,77,1671,1748,Kholan(ST),MMR014013
 Rural,44,2572,2616,Kholan(ST),MMR014013
 Total,121,4243,4364,Kholan(ST),MMR014013
