Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,6,1186,1192,Maukme`,MMR014020
 Rural,14,5988,6002,Maukme`,MMR014020
 Total,20,7174,7194,Maukme`,MMR014020
