Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,301,4879,5180,Danubyu,MMR017022
 Rural,1555,38062,39617,Danubyu,MMR017022
 Total,1856,42941,44797,Danubyu,MMR017022
