Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,499,4828,5327,Yame`thin,MMR010023
 Rural,737,51195,51932,Yame`thin,MMR010023
 Total,1236,56023,57259,Yame`thin,MMR010023
