Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Rural,411,15662,16073,Loikaw,MMR002001
 Total,1478,25017,26495,Loikaw,MMR002001
 Urban,92,1045,1137,Dimawso,MMR002002
 Rural,356,13854,14210,Dimawso,MMR002002
 Total,448,14899,15347,Dimawso,MMR002002
 Urban,43,810,853,Phruso,MMR002003
 Rural,16,5041,5057,Phruso,MMR002003
 Total,59,5851,5910,Phruso,MMR002003
 Urban,16,320,336,Shardaw,MMR002004
 Rural,3,1067,1070,Shardaw,MMR002004
 Total,19,1387,1406,Shardaw,MMR002004
 Urban,51,788,839,Bawlakhe,MMR002005
 Rural,2,748,750,Bawlakhe,MMR002005
 Total,53,1536,1589,Bawlakhe,MMR002005
 Urban,53,541,594,Parsaung,MMR002006
 Rural,84,4055,4139,Parsaung,MMR002006
 Total,137,4596,4733,Parsaung,MMR002006
 Urban,-,195,195,Meisi,MMR002007
 Rural,3,1104,1107,Meisi,MMR002007
 Total,3,1299,1302,Meisi,MMR002007
 Urban,-,292,292,Ywathit(ST),MMR002005
 Rural,-,200,200,Ywathit(ST),MMR002005
 Total,-,492,492,Ywathit(ST),MMR002005
 Urban,1300,13468,14768,Hpa-an,MMR003001
 Rural,2720,71709,74429,Hpa-an,MMR003001
 Total,4020,85177,89197,Hpa-an,MMR003001
 Urban,324,1955,2279,Hlaingbwe,MMR003002
 Rural,877,28430,29307,Hlaingbwe,MMR003002
 Total,1201,30385,31586,Hlaingbwe,MMR003002
 Urban,217,2845,3062,Thandaunggyi,MMR003004
 Rural,146,2601,2747,Thandaunggyi,MMR003004
 Total,363,5446,5809,Thandaunggyi,MMR003004
 Urban,24,783,807,Paingkyon(ST),MMR003002
 Rural,347,16624,16971,Paingkyon(ST),MMR003002
 Total,371,17407,17778,Paingkyon(ST),MMR003002
 Urban,3,80,83,Shan Ywathit(ST),MMR003002
 Rural,85,3588,3673,Shan Ywathit(ST),MMR003002
 Total,88,3668,3756,Shan Ywathit(ST),MMR003002
 Urban,35,572,607,Leiktho(ST),MMR003004
 Rural,147,9172,9319,Leiktho(ST),MMR003004
 Total,182,9744,9926,Leiktho(ST),MMR003004
 Urban,1,435,436,Bawgali(ST),MMR003004
 Rural,89,2880,2969,Bawgali(ST),MMR003004
 Total,90,3315,3405,Bawgali(ST),MMR003004
 Urban,9,624,633,Pharpon,MMR003003
 Rural,19,1892,1911,Pharpon,MMR003003
 Total,28,2516,2544,Pharpon,MMR003003
 Urban,42,2707,2749,Kamamaung(ST},MMR003003
 Rural,31,1178,1209,Kamamaung(ST},MMR003003
 Total,73,3885,3958,Kamamaung(ST},MMR003003
 Urban,1338,22678,24016,Myawady,MMR003005
 Rural,620,16622,17242,Myawady,MMR003005
 Total,1958,39300,41258,Myawady,MMR003005
 Urban,1,74,75,Sugali(ST),MMR003005
 Rural,9,977,986,Sugali(ST),MMR003005
 Total,10,1051,1061,Sugali(ST),MMR003005
 Urban,4,573,577,Wawlaymyaing(ST),MMR003005
 Rural,24,1096,1120,Wawlaymyaing(ST),MMR003005
 Total,28,1669,1697,Wawlaymyaing(ST),MMR003005
 Urban,644,7838,8482,Kawkareik,MMR003006
 Rural,1345,35671,37016,Kawkareik,MMR003006
 Total,1989,43509,45498,Kawkareik,MMR003006
 Urban,120,1697,1817,Kyarinseikkyi,MMR003007
 Rural,581,19642,20223,Kyarinseikkyi,MMR003007
 Total,701,21339,22040,Kyarinseikkyi,MMR003007
 Urban,86,6010,6096,Payarthonezu(ST),MMR003007
 Rural,192,11507,11699,Payarthonezu(ST),MMR003007
 Total,278,17517,17795,Payarthonezu(ST),MMR003007
 Urban,44,636,680,Kyaidon(ST),MMR003007
 Rural,52,10001,10053,Kyaidon(ST),MMR003007
 Total,96,10637,10733,Kyaidon(ST),MMR003007
 Urban,1178,4043,5221,HaKa,MMR004002
 Rural,200,4496,4696,HaKa,MMR004002
 Total,1378,8539,9917,HaKa,MMR004002
 Urban,318,1189,1507,Thantlang,MMR004003
 Rural,223,8052,8275,Thantlang,MMR004003
 Total,541,9241,9782,Thantlang,MMR004003
 Urban,364,1638,2002,Falam,MMR004001
 Rural,176,6250,6426,Falam,MMR004001
 Total,540,7888,8428,Falam,MMR004001
 Urban,459,1791,2250,Tedim,MMR004004
 Rural,638,11795,12433,Tedim,MMR004004
 Total,1097,13586,14683,Tedim,MMR004004
 Urban,26,614,640,Tonzaung,MMR004005
 Rural,31,2740,2771,Tonzaung,MMR004005
 Total,57,3354,3411,Tonzaung,MMR004005
 Urban,59,611,670,Rihkhuadal(ST),MMR004001
 Rural,3,525,528,Rihkhuadal(ST),MMR004001
 Total,62,1136,1198,Rihkhuadal(ST),MMR004001
 Urban,12,203,215,Cikha(ST),MMR004005
 Rural,14,1301,1315,Cikha(ST),MMR004005
 Total,26,1504,1530,Cikha(ST),MMR004005
 Urban,261,2082,2343,Mindat,MMR004006
 Rural,116,6063,6179,Mindat,MMR004006
 Total,377,8145,8522,Mindat,MMR004006
 Urban,209,1461,1670,Matupi,MMR004007
 Rural,71,5895,5966,Matupi,MMR004007
 Total,280,7356,7636,Matupi,MMR004007
 Urban,31,776,807,Kanpalet,MMR004008
 Rural,23,3147,3170,Kanpalet,MMR004008
 Total,54,3923,3977,Kanpalet,MMR004008
 Urban,48,1302,1350,Paletwat,MMR004009
 Rural,27,11916,11943,Paletwat,MMR004009
 Total,75,13218,13293,Paletwat,MMR004009
 Urban,7,455,462,Reazu(ST),MMR004007
 Rural,41,2018,2059,Reazu(ST),MMR004007
 Total,48,2473,2521,Reazu(ST),MMR004007
 Urban,1,632,633,Sami(ST),MMR004009
 Rural,47,5543,5590,Sami(ST),MMR004009
 Total,48,6175,6223,Sami(ST),MMR004009
 Urban,1075,15421,16496,Sagaing,MMR005001
 Rural,1287,47360,48647,Sagaing,MMR005001
 Total,2362,62781,65143,Sagaing,MMR005001
 Urban,586,3045,3631,Myinmu,MMR005002
 Rural,381,21292,21673,Myinmu,MMR005002
 Total,967,24337,25304,Myinmu,MMR005002
 Urban,196,1757,1953,Myaung,MMR005003
 Rural,941,21368,22309,Myaung,MMR005003
 Total,1137,23125,24262,Myaung,MMR005003
 Urban,1137,12394,13531,Shwebo,MMR005004
 Rural,1261,35455,36716,Shwebo,MMR005004
 Total,2398,47849,50247,Shwebo,MMR005004
 Urban,273,2018,2291,Khin U,MMR005005
 Rural,887,29446,30333,Khin U,MMR005005
 Total,1160,31464,32624,Khin U,MMR005005
 Urban,336,1970,2306,Wetlet,MMR005006
 Rural,1227,43179,44406,Wetlet,MMR005006
 Total,1563,45149,46712,Wetlet,MMR005006
 Urban,436,4747,5183,Kambalu,MMR005007
 Rural,1980,54163,56143,Kambalu,MMR005007
 Total,2416,58910,61326,Kambalu,MMR005007
 Urban,345,2154,2499,Kyunhlau,MMR005008
 Rural,852,17512,18364,Kyunhlau,MMR005008
 Total,1197,19666,20863,Kyunhlau,MMR005008
 Urban,526,3439,3965,Ye U,MMR005009
 Rural,843,21565,22408,Ye U,MMR005009
 Total,1369,25004,26373,Ye U,MMR005009
 Urban,114,841,955,Depayin,MMR005010
 Rural,859,28531,29390,Depayin,MMR005010
 Total,973,29372,30345,Depayin,MMR005010
 Urban,505,2467,2972,Tasei,MMR005011
 Rural,1316,31649,32965,Tasei,MMR005011
 Total,1821,34116,35937,Tasei,MMR005011
 Urban,127,2179,2306,Kyaukmyaung(ST),MMR005004
 Rural,94,4650,4744,Kyaukmyaung(ST),MMR005004
 Total,221,6829,7050,Kyaukmyaung(ST),MMR005004
 Urban,4532,35874,40406,Monywa,MMR005012
 Rural,686,34870,35556,Monywa,MMR005012
 Total,5218,70744,75962,Monywa,MMR005012
 Urban,225,968,1193,Butalin,MMR005013
 Rural,703,26720,27423,Butalin,MMR005013
 Total,928,27688,28616,Butalin,MMR005013
 Urban,154,2001,2155,Ayartaw,MMR005014
 Rural,567,32869,33436,Ayartaw,MMR005014
 Total,721,34870,35591,Ayartaw,MMR005014
 Urban,531,4550,5081,Chaung Oo,MMR005015
 Rural,544,17751,18295,Chaung Oo,MMR005015
 Total,1075,22301,23376,Chaung Oo,MMR005015
 Urban,689,4574,5263,Katha,MMR005020
 Rural,557,26141,26698,Katha,MMR005020
 Total,1246,30715,31961,Katha,MMR005020
 Urban,286,1556,1842,Indaw,MMR005021
 Rural,964,20424,21388,Indaw,MMR005021
 Total,1250,21980,23230,Indaw,MMR005021
 Urban,500,2570,3070,Tigyaing,MMR005022
 Rural,544,22775,23319,Tigyaing,MMR005022
 Total,1044,25345,26389,Tigyaing,MMR005022
 Urban,179,1033,1212,Banmauk,MMR005023
 Rural,506,17150,17656,Banmauk,MMR005023
 Total,685,18183,18868,Banmauk,MMR005023
 Urban,759,3810,4569,Kawlin,MMR005024
 Rural,1361,25473,26834,Kawlin,MMR005024
 Total,2120,29283,31403,Kawlin,MMR005024
 Urban,292,2298,2590,Wuntho,MMR005025
 Rural,338,11277,11615,Wuntho,MMR005025
 Total,630,13575,14205,Wuntho,MMR005025
 Urban,71,1398,1469,Pinlebu,MMR005026
 Rural,324,20107,20431,Pinlebu,MMR005026
 Total,395,21505,21900,Pinlebu,MMR005026
 Urban,1359,24362,25721,Kalay,MMR014005
 Rural,1626,45422,47048,Kalay,MMR014005
 Total,2985,69784,72769,Kalay,MMR014005
 Urban,43,1910,1953,Kalewa,MMR005028
 Rural,452,9330,9782,Kalewa,MMR005028
 Total,495,11240,11735,Kalewa,MMR005028
 Urban,82,754,836,Mingin,MMR005029
 Rural,476,20746,21222,Mingin,MMR005029
 Total,558,21500,22058,Mingin,MMR005029
 Urban,737,8252,8989,Tamu,MMR005030
 Rural,66,2931,2997,Tamu,MMR005030
 Total,803,11183,11986,Tamu,MMR005030
 Urban,10,298,308,Myothit(ST),MMR005030
 Rural,76,2713,2789,Myothit(ST),MMR005030
 Total,86,3011,3097,Myothit(ST),MMR005030
 Urban,80,2758,2838,Khampat(ST),MMR005030
 Rural,122,4548,4670,Khampat(ST),MMR005030
 Total,202,7306,7508,Khampat(ST),MMR005030
 Urban,28,1796,1824,Mawlaik,MMR005031
 Rural,171,8350,8521,Mawlaik,MMR005031
 Total,199,10146,10345,Mawlaik,MMR005031
 Urban,87,1855,1942,Phaungpyin,MMR005032
 Rural,311,17993,18304,Phaungpyin,MMR005032
 Total,398,19848,20246,Phaungpyin,MMR005032
 Urban,42,2141,2183,Hkamti,MMR005033
 Rural,124,5054,5178,Hkamti,MMR005033
 Total,166,7195,7361,Hkamti,MMR005033
 Urban,187,3388,3575,Homalin,MMR005034
 Rural,1102,31066,32168,Homalin,MMR005034
 Total,1289,34454,35743,Homalin,MMR005034
 Urban,-,253,253,Leshi,MMR005035
 Rural,8,1395,1403,Leshi,MMR005035
 Total,8,1648,1656,Leshi,MMR005035
 Urban,5,533,538,Lahe,MMR005036
 Rural,20,6419,6439,Lahe,MMR005036
 Total,25,6952,6977,Lahe,MMR005036
 Urban,9,366,375,Nanyun,MMR005037
 Rural,12,1181,1193,Nanyun,MMR005037
 Total,21,1547,1568,Nanyun,MMR005037
 Urban,2,208,210,Mobaingluk(ST),MMR005035
 Rural,1,99,100,Mobaingluk(ST),MMR005035
 Total,3,307,310,Mobaingluk(ST),MMR005035
 Urban,4,282,286,Sonemara(ST),MMR005035
 Rural,9,899,908,Sonemara(ST),MMR005035
 Total,13,1181,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,-,633,633,Htanparkway(ST),MMR005036
 Total,-,761,761,Htanparkway(ST),MMR005036
 Urban,20,318,338,Pansaung(ST),MMR005037
 Rural,3,2008,2011,Pansaung(ST),MMR005037
 Total,23,2326,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,-,3754,3754,Donhee(ST),MMR005037
 Total,-,3923,3923,Donhee(ST),MMR005037
 Urban,85,992,1077,Yinmarpin,MMR005016
 Rural,975,27480,28455,Yinmarpin,MMR005016
 Total,1060,28472,29532,Yinmarpin,MMR005016
 Urban,63,1159,1222,Salingyi,MMR005018
 Rural,489,24756,25245,Salingyi,MMR005018
 Total,552,25915,26467,Salingyi,MMR005018
 Urban,105,826,931,Palae,MMR005019
 Rural,1061,30370,31431,Palae,MMR005019
 Total,1166,31196,32362,Palae,MMR005019
 Urban,50,1088,1138,Kani,MMR005017
 Rural,1287,26798,28085,Kani,MMR005017
 Total,1337,27886,29223,Kani,MMR005017
 Urban,1626,13756,15382,Dawei,MMR006001
 Rural,403,9158,9561,Dawei,MMR006001
 Total,2029,22914,24943,Dawei,MMR006001
 Urban,106,1134,1240,Lounglon,MMR006002
 Rural,746,23749,24495,Lounglon,MMR006002
 Total,852,24883,25735,Lounglon,MMR006002
 Urban,194,2213,2407,Thayetchaung,MMR006003
 Rural,633,19834,20467,Thayetchaung,MMR006003
 Total,827,22047,22874,Thayetchaung,MMR006003
 Urban,33,1044,1077,Yebyu,MMR006004
 Rural,651,20345,20996,Yebyu,MMR006004
 Total,684,21389,22073,Yebyu,MMR006004
 Urban,15,481,496,Myitta(ST),MMR006001
 Rural,103,3591,3694,Myitta(ST),MMR006001
 Total,118,4072,4190,Myitta(ST),MMR006001
 Urban,45,579,624,Kaleinaung(ST),MMR006004
 Rural,120,3533,3653,Kaleinaung(ST),MMR006004
 Total,165,4112,4277,Kaleinaung(ST),MMR006004
 Urban,1295,20253,21548,Myeik,MMR006005
 Rural,1054,31747,32801,Myeik,MMR006005
 Total,2349,52000,54349,Myeik,MMR006005
 Urban,90,1052,1142,Kyunsu,MMR006006
 Rural,1125,30721,31846,Kyunsu,MMR006006
 Total,1215,31773,32988,Kyunsu,MMR006006
 Urban,309,3262,3571,Palaw,MMR006007
 Rural,598,14356,14954,Palaw,MMR006007
 Total,907,17618,18525,Palaw,MMR006007
 Urban,34,1092,1126,Tanintharyi,MMR006008
 Rural,582,18221,18803,Tanintharyi,MMR006008
 Total,616,19313,19929,Tanintharyi,MMR006008
 Urban,115,1096,1211,Palauk(ST),MMR006007
 Rural,180,5737,5917,Palauk(ST),MMR006007
 Total,295,6833,7128,Palauk(ST),MMR006007
 Urban,766,11814,12580,Kawthoung,MMR006009
 Rural,532,12369,12901,Kawthoung,MMR006009
 Total,1298,24183,25481,Kawthoung,MMR006009
 Urban,35,1012,1047,Bokepyin,MMR006010
 Rural,387,7442,7829,Bokepyin,MMR006010
 Total,422,8454,8876,Bokepyin,MMR006010
 Urban,124,2231,2355,Khamaukgyi,MMR006009
 Rural,16,2494,2510,Khamaukgyi,MMR006009
 Total,140,4725,4865,Khamaukgyi,MMR006009
 Urban,17,698,715,Pyigyimandaing,MMR006010
 Rural,60,2329,2389,Pyigyimandaing,MMR006010
 Total,77,3027,3104,Pyigyimandaing,MMR006010
 Urban,32,254,286,Karathuri(ST),MMR006010
 Rural,96,3380,3476,Karathuri(ST),MMR006010
 Total,128,3634,3762,Karathuri(ST),MMR006010
 Urban,4059,50833,54892,Bago,MMR007001
 Rural,1323,50917,52240,Bago,MMR007001
 Total,5382,101750,107132,Bago,MMR007001
 Urban,288,3341,3629,Tanatpin,MMR007002
 Rural,1148,27750,28898,Tanatpin,MMR007002
 Total,1436,31091,32527,Tanatpin,MMR007002
 Urban,355,3899,4254,Kawa,MMR007003
 Rural,2115,39706,41821,Kawa,MMR007003
 Total,2470,43605,46075,Kawa,MMR007003
 Urban,520,4526,5046,Waw,MMR007004
 Rural,1156,30881,32037,Waw,MMR007004
 Total,1676,35407,37083,Waw,MMR007004
 Urban,1102,11960,13062,Nyaunglebin,MMR007005
 Rural,1067,30633,31700,Nyaunglebin,MMR007005
 Total,2169,42593,44762,Nyaunglebin,MMR007005
 Urban,618,6255,6873,Kyauktaga,MMR007006
 Rural,1251,43524,44775,Kyauktaga,MMR007006
 Total,1869,49779,51648,Kyauktaga,MMR007006
 Urban,457,8283,8740,Daik U,MMR007007
 Rural,1327,35686,37013,Daik U,MMR007007
 Total,1784,43969,45753,Daik U,MMR007007
 Urban,477,4388,4865,Shwegyin,MMR007008
 Rural,651,16266,16917,Shwegyin,MMR007008
 Total,1128,20654,21782,Shwegyin,MMR007008
 Urban,1876,20024,21900,Toungoo,MMR007009
 Rural,672,34888,35560,Toungoo,MMR007009
 Total,2548,54912,57460,Toungoo,MMR007009
 Urban,523,5432,5955,Yaedashe,MMR007010
 Rural,877,43695,44572,Yaedashe,MMR007010
 Total,1400,49127,50527,Yaedashe,MMR007010
 Urban,104,2154,2258,Kyaukkyi,MMR007011
 Rural,1082,19543,20625,Kyaukkyi,MMR007011
 Total,1186,21697,22883,Kyaukkyi,MMR007011
 Urban,1135,12692,13827,Pyu,MMR007012
 Rural,1153,39951,41104,Pyu,MMR007012
 Total,2288,52643,54931,Pyu,MMR007012
 Urban,181,3028,3209,Oatwin,MMR007013
 Rural,555,33106,33661,Oatwin,MMR007013
 Total,736,36134,36870,Oatwin,MMR007013
 Urban,102,2274,2376,Htantapin,MMR007014
 Rural,658,23747,24405,Htantapin,MMR007014
 Total,760,26021,26781,Htantapin,MMR007014
 Urban,2804,26011,28815,Pyay,MMR008001
 Rural,589,29153,29742,Pyay,MMR008001
 Total,3393,55164,58557,Pyay,MMR008001
 Urban,370,3236,3606,Paukkhaung,MMR008002
 Rural,593,28148,28741,Paukkhaung,MMR008002
 Total,963,31384,32347,Paukkhaung,MMR008002
 Urban,445,4023,4468,Padaung,MMR008003
 Rural,907,33517,34424,Padaung,MMR008003
 Total,1352,37540,38892,Padaung,MMR008003
 Urban,724,5757,6481,Paunde,MMR008004
 Rural,392,29827,30219,Paunde,MMR008004
 Total,1116,35584,36700,Paunde,MMR008004
 Urban,349,3917,4266,Thegon,MMR008005
 Rural,531,31153,31684,Thegon,MMR008005
 Total,880,35070,35950,Thegon,MMR008005
 Urban,356,4162,4518,Shwedaung,MMR008006
 Rural,604,28442,29046,Shwedaung,MMR008006
 Total,960,32604,33564,Shwedaung,MMR008006
 Urban,700,7464,8164,Tharyarwaddy,MMR008007
 Rural,413,28049,28462,Tharyarwaddy,MMR008007
 Total,1113,35513,36626,Tharyarwaddy,MMR008007
 Urban,609,5126,5735,Letpadan,MMR008008
 Rural,855,36894,37749,Letpadan,MMR008008
 Total,1464,42020,43484,Letpadan,MMR008008
 Urban,390,2312,2702,Minhla,MMR009013
 Rural,417,27775,28192,Minhla,MMR009013
 Total,807,30087,30894,Minhla,MMR009013
 Urban,263,2537,2800,Okpo,MMR008010
 Rural,459,28635,29094,Okpo,MMR008010
 Total,722,31172,31894,Okpo,MMR008010
 Urban,422,3545,3967,Zigon,MMR008011
 Rural,125,14118,14243,Zigon,MMR008011
 Total,547,17663,18210,Zigon,MMR008011
 Urban,710,3932,4642,Nattalin,MMR008012
 Rural,582,40545,41127,Nattalin,MMR008012
 Total,1292,44477,45769,Nattalin,MMR008012
 Urban,238,2142,2380,Monyo,MMR008013
 Rural,589,30318,30907,Monyo,MMR008013
 Total,827,32460,33287,Monyo,MMR008013
 Urban,744,4840,5584,Gyobingauk,MMR008014
 Rural,259,24743,25002,Gyobingauk,MMR008014
 Total,1003,29583,30586,Gyobingauk,MMR008014
 Urban,2718,17152,19870,Magway,MMR009001
 Rural,1117,47690,48807,Magway,MMR009001
 Total,3835,64842,68677,Magway,MMR009001
 Urban,612,10064,10676,Yenangyoung,MMR009002
 Rural,678,21146,21824,Yenangyoung,MMR009002
 Total,1290,31210,32500,Yenangyoung,MMR009002
 Urban,875,9526,10401,Chauk,MMR009003
 Rural,1351,32866,34217,Chauk,MMR009003
 Total,2226,42392,44618,Chauk,MMR009003
 Urban,761,9294,10055,Taungdwingyi,MMR009004
 Rural,1528,48680,50208,Taungdwingyi,MMR009004
 Total,2289,57974,60263,Taungdwingyi,MMR009004
 Urban,157,1589,1746,Myothit,MMR009005
 Rural,818,34384,35202,Myothit,MMR009005
 Total,975,35973,36948,Myothit,MMR009005
 Urban,445,2729,3174,Natmauk,MMR009006
 Rural,856,44396,45252,Natmauk,MMR009006
 Total,1301,47125,48426,Natmauk,MMR009006
 Urban,672,8518,9190,Minbu,MMR009007
 Rural,675,33952,34627,Minbu,MMR009007
 Total,1347,42470,43817,Minbu,MMR009007
 Urban,164,1290,1454,Pwint Phyu,MMR009008
 Rural,991,37319,38310,Pwint Phyu,MMR009008
 Total,1155,38609,39764,Pwint Phyu,MMR009008
 Urban,94,885,979,Ngape,MMR009009
 Rural,303,11175,11478,Ngape,MMR009009
 Total,397,12060,12457,Ngape,MMR009009
 Urban,319,2467,2786,Salin,MMR009010
 Rural,1407,51412,52819,Salin,MMR009010
 Total,1726,53879,55605,Salin,MMR009010
 Urban,19,1506,1525,Saytottara,MMR009011
 Rural,65,9190,9255,Saytottara,MMR009011
 Total,84,10696,10780,Saytottara,MMR009011
 Urban,277,4286,4563,Thayet,MMR009012
 Rural,125,21284,21409,Thayet,MMR009012
 Total,402,25570,25972,Thayet,MMR009012
 Urban,377,2604,2981,Minhla,MMR009013
 Rural,372,28269,28641,Minhla,MMR009013
 Total,749,30873,31622,Minhla,MMR009013
 Urban,163,1107,1270,Mindon,MMR009014
 Rural,728,14811,15539,Mindon,MMR009014
 Total,891,15918,16809,Mindon,MMR009014
 Urban,91,1203,1294,Kamma,MMR009015
 Rural,608,17241,17849,Kamma,MMR009015
 Total,699,18444,19143,Kamma,MMR009015
 Urban,1024,10601,11625,Aunglan,MMR009016
 Rural,368,45616,45984,Aunglan,MMR009016
 Total,1392,56217,57609,Aunglan,MMR009016
 Urban,65,1216,1281,Sinpaungwe`,MMR009017
 Rural,636,26767,27403,Sinpaungwe`,MMR009017
 Total,701,27983,28684,Sinpaungwe`,MMR009017
 Urban,1772,17297,19069,Pakokku,MMR009018
 Rural,1385,45886,47271,Pakokku,MMR009018
 Total,3157,63183,66340,Pakokku,MMR009018
 Urban,636,4263,4899,Yesagyo,MMR009019
 Rural,1039,41394,42433,Yesagyo,MMR009019
 Total,1675,45657,47332,Yesagyo,MMR009019
 Urban,444,1357,1801,Myaing,MMR009020
 Rural,1257,50583,51840,Myaing,MMR009020
 Total,1701,51940,53641,Myaing,MMR009020
 Urban,309,1392,1701,Pauk,MMR009021
 Rural,946,36318,37264,Pauk,MMR009021
 Total,1255,37710,38965,Pauk,MMR009021
 Urban,201,1928,2129,Seikphyu,MMR009022
 Rural,661,20637,21298,Seikphyu,MMR009022
 Total,862,22565,23427,Seikphyu,MMR009022
 Urban,417,2841,3258,Gangaw,MMR009023
 Rural,693,25961,26654,Gangaw,MMR009023
 Total,1110,28802,29912,Gangaw,MMR009023
 Urban,25,1098,1123,Htilin,MMR009024
 Rural,375,9034,9409,Htilin,MMR009024
 Total,400,10132,10532,Htilin,MMR009024
 Urban,5,1256,1261,Saw,MMR009025
 Rural,198,6866,7064,Saw,MMR009025
 Total,203,8122,8325,Saw,MMR009025
 Urban,23,1117,1140,Kyaukhtu(ST),MMR009025
 Rural,300,6169,6469,Kyaukhtu(ST),MMR009025
 Total,323,7286,7609,Kyaukhtu(ST),MMR009025
 Urban,4255,45476,49731,Aungmyetharzan,MMR010001
