Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2958,20104,23062,Kyimyindine,MMR013038
 Total,2958,20104,23062,Kyimyindine,MMR013038
