Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,661,8485,9146,Tatkon,MMR018003
 Rural,619,41982,42601,Tatkon,MMR018003
 Total,1280,50467,51747,Tatkon,MMR018003
