Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,91,103,194,Kongyan,MMR015023
 Rural,834,4434,5268,Kongyan,MMR015023
 Total,925,4537,5462,Kongyan,MMR015023
