Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,8,578,586,Minelon(ST),MMR015012
 Rural,55,5215,5270,Minelon(ST),MMR015012
 Total,63,5793,5856,Minelon(ST),MMR015012
