Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,494,5406,5900,Nyaungdon,MMR017021
 Rural,1525,43776,45301,Nyaungdon,MMR017021
 Total,2019,49182,51201,Nyaungdon,MMR017021
