Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,409,2361,2770,Pinlaung,MMR014009
 Rural,319,22415,22734,Pinlaung,MMR014009
 Total,728,24776,25504,Pinlaung,MMR014009
