Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,44,2444,2488,Gwa,MMR012017
 Rural,258,8499,8757,Gwa,MMR012017
 Total,302,10943,11245,Gwa,MMR012017
