Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,488,5561,6049,Myanaung,MMR017011
 Rural,1515,52356,53871,Myanaung,MMR017011
 Total,2003,57917,59920,Myanaung,MMR017011
