Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,30,2588,2618,Myebon,MMR012006
 Rural,539,28182,28721,Myebon,MMR012006
 Total,569,30770,31339,Myebon,MMR012006
