Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,144,2823,2967,Lamine,MMR011006
 Rural,587,15085,15672,Lamine,MMR011006
 Total,731,17908,18639,Lamine,MMR011006
