Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,129,806,935,Namsan(North),MMR015016
 Rural,187,12563,12750,Namsan(North),MMR015016
 Total,316,13369,13685,Namsan(North),MMR015016
