Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,30,3519,3549,Hainggyikyun(ST),MMR017004
 Rural,569,24957,25526,Hainggyikyun(ST),MMR017004
 Total,599,28476,29075,Hainggyikyun(ST),MMR017004
