Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,61,1604,1665,Karli(ST),MMR014014
 Rural,66,4836,4902,Karli(ST),MMR014014
 Total,127,6440,6567,Karli(ST),MMR014014
