Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1420,17477,18897,Myingyan,MMR010017
 Rural,1294,42149,43443,Myingyan,MMR010017
 Total,2714,59626,62340,Myingyan,MMR010017
