Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,8,499,507,Minesan(Monsan)(ST),MMR014017
 Rural,45,6114,6159,Minesan(Monsan)(ST),MMR014017
 Total,53,6613,6666,Minesan(Monsan)(ST),MMR014017
