Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1242,19117,20359,Taikkyi,MMR013005
 Rural,1412,45228,46640,Taikkyi,MMR013005
 Total,2654,64345,66999,Taikkyi,MMR013005
