Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2592,74392,76984,Dagon Myothit(South),MMR013018
 Total,2592,74392,76984,Dagon Myothit(South),MMR013018
