Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,429,4988,5417,Kyaiklatt,MMR017025
 Rural,2188,36143,38331,Kyaiklatt,MMR017025
 Total,2617,41131,43748,Kyaiklatt,MMR017025
