Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,133,1635,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,537,2238,2775,Pansai(KyuKute)(ST),MMR015009
 Total,670,3873,4543,Pansai(KyuKute)(ST),MMR015009
