Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,286,3664,3950,Kyaungon,MMR017007
 Rural,821,36631,37452,Kyaungon,MMR017007
 Total,1107,40295,41402,Kyaungon,MMR017007
