Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,20,750,770,Laymyethna,MMR017010
 Rural,704,24770,25474,Laymyethna,MMR017010
 Total,724,25520,26244,Laymyethna,MMR017010
