Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2904,50143,53047,Chanmyatharzi,MMR010004
 Total,2904,50143,53047,Chanmyatharzi,MMR010004
