Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,38,683,721,Ponparkyin(ST),MMR016008
 Rural,238,6375,6613,Ponparkyin(ST),MMR016008
 Total,276,7058,7334,Ponparkyin(ST),MMR016008
