Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,176,1568,1744,Chaungzon,MMR011003
 Rural,1159,25041,26200,Chaungzon,MMR011003
 Total,1335,26609,27944,Chaungzon,MMR011003
