Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,703,24628,25331,Dala,MMR013030
 Rural,283,12298,12581,Dala,MMR013030
 Total,986,36926,37912,Dala,MMR013030
