Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,86,1102,1188,Thabeikkyin,MMR010012
 Rural,1052,23509,24561,Thabeikkyin,MMR010012
 Total,1138,24611,25749,Thabeikkyin,MMR010012
