Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,10,336,346,Manhero(ST),MMR015009
 Rural,65,1232,1297,Manhero(ST),MMR015009
 Total,75,1568,1643,Manhero(ST),MMR015009
