Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,20,1449,1469,Monekoe(ST),MMR015009
 Rural,191,2698,2889,Monekoe(ST),MMR015009
 Total,211,4147,4358,Monekoe(ST),MMR015009
