Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,426,7090,7516,Kyaikto,MMR011009
 Rural,1210,29362,30572,Kyaikto,MMR011009
 Total,1636,36452,38088,Kyaikto,MMR011009
