Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,35,639,674,Homane(ST),MMR014018
 Rural,4,482,486,Homane(ST),MMR014018
 Total,39,1121,1160,Homane(ST),MMR014018
