Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,3195,3368,6563,Pabedan,MMR013034
 Total,3195,3368,6563,Pabedan,MMR013034
