Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,833,9959,10792,Mudon,MMR011005
 Rural,872,27648,28520,Mudon,MMR011005
 Total,1705,37607,39312,Mudon,MMR011005
