Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1341,17368,18709,Thanlyin,MMR013023
 Rural,1065,41823,42888,Thanlyin,MMR013023
 Total,2406,59191,61597,Thanlyin,MMR013023
