Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,3614,30485,34099,Lashio,MMR015001
 Rural,716,30117,30833,Lashio,MMR015001
 Total,4330,60602,64932,Lashio,MMR015001
