Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,465,3493,3958,Kungyangon,MMR013029
 Rural,936,23458,24394,Kungyangon,MMR013029
 Total,1401,26951,28352,Kungyangon,MMR013029
