Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,842,11671,12513,Myaungmya,MMR017014
 Rural,2107,51552,53659,Myaungmya,MMR017014
 Total,2949,63223,66172,Myaungmya,MMR017014
