Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,22,591,613,Minengaw(ST),MMR015012
 Rural,38,3378,3416,Minengaw(ST),MMR015012
 Total,60,3969,4029,Minengaw(ST),MMR015012
