Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,135,2539,2674,Kangyidaunt,MMR017002
 Rural,1193,39099,40292,Kangyidaunt,MMR017002
 Total,1328,41638,42966,Kangyidaunt,MMR017002
