Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,209,1124,1333,Minepyin,MMR016007
 Rural,52,9220,9272,Minepyin,MMR016007
 Total,261,10344,10605,Minepyin,MMR016007
