Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,147,1510,1657,Ngazun,MMR010021
 Rural,1025,25156,26181,Ngazun,MMR010021
 Total,1172,26666,27838,Ngazun,MMR010021
