Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2254,43202,45456,Thakayta,MMR013013
 Total,2254,43202,45456,Thakayta,MMR013013
