School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,214,846,942,928,881,874,759,787,712,625,429,287,188,178,127,72,36,21,13,5,5,6,1,9,2,5,1,2,3,3,2,1,3,2,2,2,-,1,-,-,1,1,1,1,1,1,-,2,-,2,1,-,-,1,-,1,-,1,2,-,1,1,1,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,8996,Lamine,MMR011006
 Previously attended,31,66,67,70,74,95,107,182,217,288,377,387,380,561,461,606,505,574,539,479,645,470,519,578,480,651,446,557,522,387,589,414,463,534,387,581,336,478,421,366,480,322,285,343,263,437,271,272,289,230,311,222,203,245,142,254,170,171,114,129,157,83,97,61,49,64,31,36,41,29,40,19,10,15,6,11,7,6,10,5,11,6,7,6,5,6,21861,Lamine,MMR011006
 Never attended,719,195,71,58,37,39,23,43,46,38,40,42,62,66,64,101,59,76,71,72,120,77,80,104,78,147,69,131,128,119,194,116,166,184,120,246,103,170,167,148,250,145,156,216,143,281,164,195,196,168,295,182,170,169,139,323,132,173,202,179,276,156,174,135,72,227,94,116,108,87,169,82,62,97,52,126,31,66,55,51,54,34,27,28,15,70,10931,Lamine,MMR011006
 Total,964,1107,1080,1056,992,1008,889,1012,975,951,846,716,630,805,652,779,600,671,623,556,770,553,600,691,560,803,516,690,653,509,785,531,632,720,509,829,439,649,588,514,731,468,442,560,407,719,435,469,485,400,607,404,373,415,281,578,302,345,318,308,434,240,272,196,121,291,126,152,149,116,209,101,73,113,58,137,38,72,65,56,65,40,34,34,20,76,41788,Lamine,MMR011006
