School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,467,1217,1275,1179,1240,1255,1178,1248,1076,914,636,483,372,273,191,132,66,41,29,18,24,14,12,8,17,14,5,8,5,5,7,5,5,4,4,3,5,5,6,1,7,1,6,2,4,4,2,4,3,2,4,2,-,-,-,3,2,4,1,1,1,1,1,1,1,1,-,1,1,-,1,2,-,2,-,1,-,-,-,-,-,1,-,-,-,1,13515,Palae,MMR005019
 Previously attended,73,104,142,102,121,155,165,243,356,537,605,629,787,911,830,1163,952,1001,1054,895,1250,1003,1138,1179,1083,1353,1005,1081,1133,937,1228,935,928,1043,966,1032,751,948,921,693,956,752,674,631,568,803,538,577,528,467,589,374,427,453,372,486,301,321,333,253,308,189,234,181,129,181,118,132,86,83,184,73,98,80,44,78,50,42,44,26,38,37,18,15,19,52,44374,Palae,MMR005019
 Never attended,687,94,37,25,23,14,15,21,24,34,40,41,52,44,45,107,57,77,87,72,146,96,133,123,129,191,121,148,155,113,217,126,170,170,136,259,133,207,204,211,292,211,232,278,166,341,167,179,167,167,257,155,179,196,155,322,143,173,197,183,346,160,260,168,131,296,119,158,159,121,259,106,133,136,75,160,60,79,66,37,78,34,28,37,24,96,12270,Palae,MMR005019
 Total,1227,1415,1454,1306,1384,1424,1358,1512,1456,1485,1281,1153,1211,1228,1066,1402,1075,1119,1170,985,1420,1113,1283,1310,1229,1558,1131,1237,1293,1055,1452,1066,1103,1217,1106,1294,889,1160,1131,905,1255,964,912,911,738,1148,707,760,698,636,850,531,606,649,527,811,446,498,531,437,655,350,495,350,261,478,237,291,246,204,444,181,231,218,119,239,110,121,110,63,116,72,46,52,43,149,70159,Palae,MMR005019
