School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,361,916,942,877,961,947,850,731,637,508,351,270,228,146,97,83,34,17,20,10,6,6,6,5,-,5,5,2,2,2,3,-,-,1,-,1,1,-,1,1,1,2,1,1,1,-,2,-,-,1,1,1,2,-,-,2,1,4,1,1,-,-,2,-,1,1,-,-,1,-,1,-,1,1,-,-,-,2,-,-,-,1,-,-,-,2,9068,Sinpaungwe`,MMR009017
 Previously attended,42,80,84,93,106,132,179,279,420,565,643,617,765,839,823,1038,974,964,953,1017,1156,914,999,1110,1029,1223,960,1062,900,831,1056,867,863,883,779,891,786,788,711,701,854,694,694,646,551,653,601,553,595,517,602,410,471,418,393,451,379,329,350,337,379,263,327,242,163,268,135,161,173,151,230,112,138,120,85,127,94,70,62,74,82,43,47,34,23,100,43323,Sinpaungwe`,MMR009017
 Never attended,620,103,29,6,17,12,6,7,15,22,16,25,21,28,36,37,22,36,35,42,62,42,40,47,47,69,44,43,58,31,63,38,50,54,38,43,43,45,49,32,59,43,52,41,49,64,47,41,60,56,63,45,45,45,37,61,48,46,48,53,74,48,70,38,28,74,31,52,56,39,84,39,36,41,40,60,27,38,37,25,39,9,18,11,7,32,4129,Sinpaungwe`,MMR009017
 Total,1023,1099,1055,976,1084,1091,1035,1017,1072,1095,1010,912,1014,1013,956,1158,1030,1017,1008,1069,1224,962,1045,1162,1076,1297,1009,1107,960,864,1122,905,913,938,817,935,830,833,761,734,914,739,747,688,601,717,650,594,655,574,666,456,518,463,430,514,428,379,399,391,453,311,399,280,192,343,166,213,230,190,315,151,175,162,125,187,121,110,99,99,121,53,65,45,30,134,56520,Sinpaungwe`,MMR009017
