School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,883,2044,2149,2075,2162,2221,2031,1802,1505,1140,872,646,448,397,201,156,83,55,40,18,23,17,17,15,12,12,13,4,12,6,16,6,8,7,13,6,2,7,7,3,3,6,2,5,1,6,6,3,3,4,3,7,3,4,1,5,7,4,5,1,4,2,2,2,-,3,1,4,3,2,1,-,1,5,1,6,1,1,2,-,2,1,-,-,1,2,21260,Pantanaw,MMR017020
 Previously attended,182,284,342,292,318,466,513,794,1066,1388,1564,1555,1666,2125,1680,2431,1901,2072,2032,1915,2333,1903,1996,2130,1766,2381,1954,2003,1935,1667,2114,1675,1703,1918,1531,1979,1409,1904,1454,1410,1733,1370,1360,1569,1240,1494,1221,1225,1261,1089,1357,1061,1005,1051,859,1137,741,717,768,663,812,517,471,380,232,445,217,290,294,236,419,207,170,209,114,185,131,126,131,102,115,71,54,43,32,131,90806,Pantanaw,MMR017020
 Never attended,1735,398,149,106,54,74,67,86,78,88,103,97,107,140,93,179,103,126,123,110,204,131,123,193,136,221,135,154,180,130,203,123,129,158,107,147,86,134,110,122,157,105,118,144,109,165,103,152,125,129,175,111,91,129,107,211,115,116,146,130,155,94,83,84,56,130,54,84,84,83,158,85,64,82,48,103,58,61,63,51,55,34,20,18,12,84,11483,Pantanaw,MMR017020
 Total,2800,2726,2640,2473,2534,2761,2611,2682,2649,2616,2539,2298,2221,2662,1974,2766,2087,2253,2195,2043,2560,2051,2136,2338,1914,2614,2102,2161,2127,1803,2333,1804,1840,2083,1651,2132,1497,2045,1571,1535,1893,1481,1480,1718,1350,1665,1330,1380,1389,1222,1535,1179,1099,1184,967,1353,863,837,919,794,971,613,556,466,288,578,272,378,381,321,578,292,235,296,163,294,190,188,196,153,172,106,74,61,45,217,123549,Pantanaw,MMR017020
