School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,491,1529,1604,1630,1732,1648,1559,1561,1239,1011,702,586,460,355,222,150,79,50,34,23,19,12,7,8,13,12,5,6,8,4,9,4,10,6,4,4,3,5,4,3,3,2,3,1,3,5,-,5,1,2,1,5,2,1,1,2,-,2,1,-,1,2,-,-,1,1,2,1,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,1,-,16863,Kyaikto,MMR011009
 Previously attended,87,159,201,219,210,254,277,493,698,813,950,1070,1047,1317,1146,1451,1165,1290,1187,1097,1319,1090,1139,1337,1083,1427,1081,1142,1219,982,1298,1028,999,1179,1015,1236,850,1160,1022,887,1173,889,831,939,733,962,683,709,818,642,820,596,525,577,439,554,340,351,380,314,477,257,330,245,154,245,116,137,153,116,233,130,75,120,47,79,43,69,61,51,61,45,22,22,16,81,54284,Kyaikto,MMR011009
 Never attended,1287,284,98,55,44,42,35,41,44,48,41,43,38,65,58,103,54,80,75,63,103,71,103,115,73,136,62,88,95,78,141,68,80,102,96,140,64,96,115,93,145,101,100,128,84,140,78,97,113,82,131,96,76,100,63,144,58,83,103,87,131,67,89,74,51,128,49,58,70,70,126,76,45,83,21,81,33,42,44,34,48,25,17,13,15,67,8083,Kyaikto,MMR011009
 Total,1865,1972,1903,1904,1986,1944,1871,2095,1981,1872,1693,1699,1545,1737,1426,1704,1298,1420,1296,1183,1441,1173,1249,1460,1169,1575,1148,1236,1322,1064,1448,1100,1089,1287,1115,1380,917,1261,1141,983,1321,992,934,1068,820,1107,761,811,932,726,952,697,603,678,503,700,398,436,484,401,609,326,419,319,206,374,167,196,223,186,359,206,120,203,68,160,76,112,105,85,110,71,39,35,32,148,79230,Kyaikto,MMR011009
