School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,704,2200,2480,2405,2278,2410,2195,2242,2063,1598,1162,845,642,460,276,168,82,69,44,24,31,20,23,22,7,9,10,12,10,10,12,9,8,5,10,3,4,4,7,12,6,9,2,3,3,5,4,4,2,2,3,4,2,6,4,3,-,4,2,2,2,-,3,1,3,2,2,3,3,1,5,2,1,3,-,1,1,-,-,-,-,-,-,1,1,-,24680,Pyu,MMR007012
 Previously attended,120,170,237,232,224,320,390,574,804,1144,1313,1447,1758,2018,1739,2284,1786,1993,1975,2023,2231,1796,1882,2079,1778,2190,1579,1700,1671,1501,1873,1517,1577,1772,1430,1787,1121,1574,1428,1333,1613,1312,1254,1313,1076,1270,988,1081,1048,908,1096,893,784,796,604,781,470,476,499,361,426,357,397,320,190,295,136,166,214,169,264,168,120,143,82,142,92,78,56,59,84,48,38,24,20,104,79185,Pyu,MMR007012
 Never attended,1756,472,158,98,65,58,45,87,55,68,64,109,59,112,79,110,76,119,136,147,186,151,148,168,162,252,145,211,181,196,266,150,182,251,189,276,189,240,230,240,338,259,244,293,272,434,269,314,343,348,466,345,302,365,293,441,223,275,279,236,339,239,254,231,168,325,120,144,227,219,368,187,170,171,111,233,114,134,111,96,133,69,65,37,40,167,18697,Pyu,MMR007012
 Total,2580,2842,2875,2735,2567,2788,2630,2903,2922,2810,2539,2401,2459,2590,2094,2562,1944,2181,2155,2194,2448,1967,2053,2269,1947,2451,1734,1923,1862,1707,2151,1676,1767,2028,1629,2066,1314,1818,1665,1585,1957,1580,1500,1609,1351,1709,1261,1399,1393,1258,1565,1242,1088,1167,901,1225,693,755,780,599,767,596,654,552,361,622,258,313,444,389,637,357,291,317,193,376,207,212,167,155,217,117,103,62,61,271,122562,Pyu,MMR007012
