School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,190,567,588,551,583,610,537,485,431,350,258,176,132,112,66,44,19,14,6,5,4,4,5,3,4,8,2,2,4,2,1,-,2,3,2,2,1,2,5,3,4,1,4,1,1,2,2,4,1,-,3,4,3,2,2,2,4,2,1,1,4,-,1,-,-,-,1,-,3,2,1,1,-,-,2,1,1,-,1,-,-,1,-,-,-,-,5846,Kyangin,MMR017012
 Previously attended,46,80,81,92,98,123,172,224,295,370,428,432,504,585,574,798,678,721,684,666,768,721,781,825,716,919,751,805,836,694,918,702,737,803,750,795,634,806,718,688,816,653,658,758,659,735,569,653,637,482,647,541,429,471,429,528,365,400,331,290,333,234,229,185,99,163,120,153,132,133,206,107,96,102,78,101,52,68,62,56,68,42,38,23,18,60,37027,Kyangin,MMR017012
 Never attended,439,36,8,16,12,11,10,8,17,14,14,12,13,13,15,13,11,9,10,15,24,15,21,23,16,31,20,18,25,21,33,19,25,30,22,29,11,27,32,21,44,42,36,53,45,83,54,67,69,75,124,93,70,92,104,136,79,93,76,83,127,69,67,62,29,71,35,65,80,74,105,61,59,58,34,77,47,37,47,37,38,30,8,14,9,40,4057,Kyangin,MMR017012
 Total,675,683,677,659,693,744,719,717,743,734,700,620,649,710,655,855,708,744,700,686,796,740,807,851,736,958,773,825,865,717,952,721,764,836,774,826,646,835,755,712,864,696,698,812,705,820,625,724,707,557,774,638,502,565,535,666,448,495,408,374,464,303,297,247,128,234,156,218,215,209,312,169,155,160,114,179,100,105,110,93,106,73,46,37,27,100,46930,Kyangin,MMR017012
