School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,571,1298,1349,1382,1322,1342,1263,1187,1102,784,653,443,357,300,168,136,78,31,21,12,14,7,5,4,2,9,4,5,3,1,4,3,3,5,2,2,2,2,4,1,1,3,-,1,1,-,1,2,4,4,2,1,2,1,1,-,4,2,1,-,2,-,3,1,2,4,2,1,2,2,3,-,1,-,1,2,-,1,1,-,2,-,-,-,-,1,13943,Zalun,MMR017009
 Previously attended,80,136,146,149,167,214,276,438,671,742,878,896,1037,1123,1054,1346,1145,1244,1225,1137,1453,1202,1329,1383,1207,1449,1145,1231,1270,1081,1398,1187,1065,1270,1208,1254,975,1212,1105,1017,1120,1058,901,983,840,1137,853,883,985,842,945,793,692,740,619,746,529,544,527,483,557,386,402,286,230,335,229,287,262,225,381,214,160,184,111,203,113,119,107,77,99,60,43,46,27,111,60019,Zalun,MMR017009
 Never attended,1025,101,37,30,20,17,13,22,33,40,42,29,34,48,44,53,30,40,37,47,72,41,47,51,55,90,53,71,79,59,79,80,66,70,52,76,55,73,67,57,71,99,64,94,71,126,63,73,83,80,119,79,71,93,87,129,102,92,133,108,132,77,79,53,51,96,73,84,93,103,158,132,99,102,66,121,70,75,75,68,73,35,31,27,19,78,6942,Zalun,MMR017009
 Total,1676,1535,1532,1561,1509,1573,1552,1647,1806,1566,1573,1368,1428,1471,1266,1535,1253,1315,1283,1196,1539,1250,1381,1438,1264,1548,1202,1307,1352,1141,1481,1270,1134,1345,1262,1332,1032,1287,1176,1075,1192,1160,965,1078,912,1263,917,958,1072,926,1066,873,765,834,707,875,635,638,661,591,691,463,484,340,283,435,304,372,357,330,542,346,260,286,178,326,183,195,183,145,174,95,74,73,46,190,80904,Zalun,MMR017009
