School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,230,723,793,791,786,828,806,905,934,857,787,699,730,714,564,389,234,149,79,53,47,30,24,30,27,23,11,20,18,10,11,13,8,13,7,10,11,10,10,4,7,4,7,2,7,3,5,4,4,2,7,7,9,3,4,4,5,4,4,1,1,4,5,1,-,2,3,2,1,2,4,6,-,1,-,2,3,2,2,-,1,-,-,-,-,2,12525,Chanayeharzan,MMR010002
 Previously attended,112,180,200,205,204,235,203,274,403,486,587,723,873,1162,1171,1597,1434,1610,1621,1554,1682,1518,1516,1669,1480,1835,1320,1432,1313,1280,1417,1231,1272,1466,1261,1571,1114,1443,1365,1101,1470,1127,1222,1275,1067,1376,942,1106,1030,1008,1075,880,883,881,664,858,564,655,598,475,706,420,490,359,265,382,198,253,240,213,276,155,157,174,117,191,96,106,118,94,116,64,73,58,39,191,67827,Chanayeharzan,MMR010002
 Never attended,545,80,15,16,8,7,8,8,13,16,19,20,18,26,18,35,17,16,20,25,27,16,29,20,20,36,17,22,24,29,36,32,21,45,21,36,18,34,35,24,52,35,25,43,21,48,24,37,35,20,46,36,36,28,23,65,26,34,43,27,65,27,38,38,36,58,30,37,37,27,84,31,40,58,25,54,34,39,28,18,39,17,28,17,21,47,3149,Chanayeharzan,MMR010002
 Total,887,983,1008,1012,998,1070,1017,1187,1350,1359,1393,1442,1621,1902,1753,2021,1685,1775,1720,1632,1756,1564,1569,1719,1527,1894,1348,1474,1355,1319,1464,1276,1301,1524,1289,1617,1143,1487,1410,1129,1529,1166,1254,1320,1095,1427,971,1147,1069,1030,1128,923,928,912,691,927,595,693,645,503,772,451,533,398,301,442,231,292,278,242,364,192,197,233,142,247,133,147,148,112,156,81,101,75,60,240,83501,Chanayeharzan,MMR010002
